data,snowmelt,pet,precipitation,surface_sensible_heat_flux,snowfall,temperature,u_component_of_wind,v_component_of_wind,runoff
1998年6月,0.001015179,1435.885854,78.80888665,-65.1012726,0,16.26060231,1.301328152,1.525695395,
1998年7月,4.14E-05,1180.933285,196.6843506,-41.9642645,0,18.97546396,0.612040359,1.127786715,
1998年8月,1.66E-05,960.493462,87.19738646,-52.62677708,0,16.3709224,0.8759245,-0.152676428,
1998年9月,9.29E-06,1003.680788,26.61594376,-31.55212149,0,14.05589134,1.505263151,1.241312564,
1998年10月,2.402616195,614.2226297,11.58982871,-31.71056172,6.156648099,5.390657615,2.723052492,0.890751036,
1998年11月,3.423449463,0,21.6267855,-10.23314992,20.60549782,-8.68958493,1.886893105,0.038033178,
1998年12月,0,0,8.534084952,57.80504625,8.474507602,-18.62807694,3.316980438,1.316958659,
1999年1月,0,0,2.069205696,35.86853184,2.000290763,-20.19287179,3.591243188,0.242633984,
1999年2月,0.948911555,0,4.427836716,-4.100417963,4.346868311,-13.89502525,3.358444503,-0.704668053,
1999年3月,10.79725605,0,25.76580579,-100.4616043,23.66444238,-5.691831409,1.577700378,0.228807407,
1999年4月,17.17644277,996.7903981,21.50893813,-44.36033877,13.74587783,3.723523543,1.448823889,0.112272492,
1999年5月,0.201867721,1481.535923,32.12131971,-113.5977246,0.002261078,12.73440437,0.886100523,-1.318680904,
1999年6月,5.91E-07,1603.692143,72.0458234,-84.48905724,0,18.38024942,0.123454682,0.363382129,
1999年7月,2.26E-05,1484.492288,150.6484984,-44.6969635,0,20.79914409,0.049636199,1.074649961,
1999年8月,2.37E-05,1387.445485,48.50076665,-71.09478444,0,18.91149182,-0.085574346,1.447345416,
1999年9月,1.998897036,1013.253703,81.01122989,-71.14956369,2.054044897,12.83327812,0.776038358,1.135976958,
1999年10月,0.795099032,637.1668355,9.704337945,-46.31202346,1.864600251,2.567209314,3.728606512,0.400525948,
1999年11月,4.569404144,0,35.23541103,15.92701911,21.99143813,-7.215200307,2.794792801,0.507433187,
1999年12月,0,0,9.894398867,52.64460993,9.801814099,-19.31562507,2.670521008,0.801417526,
2000年1月,0,0,16.62443122,22.83111574,16.51357261,-25.02966417,2.198597323,0.240189363,
2000年2月,0.016684694,0,6.652869586,10.01695006,6.576162612,-19.60771242,2.604181071,-0.0597721,
2000年3月,22.04792649,0,5.251421655,-23.26688761,4.948532673,-7.128345175,2.489038444,-0.589486787,
2000年4月,5.072096485,1109.870655,22.09165524,-88.36261959,7.266319069,3.211784631,2.629293621,-0.787342986,
2000年5月,11.93921803,1518.244182,88.29862922,-65.73317151,12.25313334,11.33672412,0.421735318,0.470163537,
2000年6月,6.76E-06,1671.532047,37.72988737,-78.1380456,0,19.22931629,0.817841778,0.7008206,
2000年7月,1.76E-05,1806.197362,42.03609084,-93.71182591,0,23.58160657,1.532323212,0.826066962,
2000年8月,2.69E-05,1207.619188,94.43860829,-81.80885729,0,19.64977431,0.450237802,2.17901753,
2000年9月,7.29E-06,1001.017563,37.76505171,-69.77077887,0,13.26817354,0.722104815,0.959818096,
